Position Name,Job ,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,Id,Posted At,Scraped At,Short Description,External Apply Link
2nd VP - Life & Annuity Product Development,IT ,,Full-time,,Securian Financial Group,"Maple Grove, MN 55311+2 locations",3.8,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BrLlW_ZcUuDJ6jZ6w7g5y0dbJg6hSE_bFUiaAMAdSUKhPPiByWyOBroCDgy_d-JfKR7vdeDEwQjOGBscoZ-E0w7s7YrtXh_ykBT_1lwDw-0BzeT8SR3pINt4M5OdXBth_p1at9rLJWvciwGaKCYRUAel7E6q1K77eD7Y76UWFktgparfjf_qHJjUTYx_i_jicWjGNN9wBqUwkjaPKJJW7OIPGQuPqp9zvj9DB7yBPPUnHiAZx0FmnsWbZDAP8P8DdxQgVOIPLykilM3nxiiz4ywMzJZiNkfm9l6g-DnUbeXhTu1-8P9N_DBbSsD3dXBhkkUd8K6W9G4kqZO1CG8VKPpQSDZ8RKQVQwBU0RBQHWlYdZJenrm5LK3aW403rLJ0Znr_MZWd6scqtHTMzngSO6j2wZekkQMiBtMOGu30nbe1JUDN43Dy0ATuN1iFUWZrfq3mthgmGNhpLCeo6J0TmG_zzaKqbbPdSD0Spsq9y8DWk31DT0OTZVcFEm2Yx_i1vIIUUyKUQISNhqTNxE2t8M82VB4B26DMNJCWCyLzBbwYRqFZazn_waOnj1ZvcUsxj5QKbzwogBvJSeCHb_4XVJpWdb2Ivt6useZlMbw1qNOmQJVMyPD5UCxPWr521dsmAbLNyu0DDXz4gYBLk9UJ6X760cCmLnYPVOD7RcdGlYEdKM6GOhsKwauJdJ-HM_o67c1eQA5SuNuoKNRbIVxgdfBK-hLU6L_iF7f3rVJ3EKXqIgZz3qJHCxl8w9FNZEzWXbpZ9NbjFm3TDCUJPFzTmQddYh-9mdTndJurHOC_94VJcbHEhihc0_4E4-7d6ywUyeGBeuaGvKuQ==&xkcb=SoDu-_M3QXvpskA0RD0LbzkdCdPP&p=0&fvj=0&vjs=3,886b61ec99614ef8,PostedPosted 5 days ago,2023-04-23T17:50:10.520Z,The 2nd VP of Life and Annuity Product Development is accountable for overseeing the Individual Life and Individual Annuity product development.,www.indeed.com/applystart?jk=886b61ec99614ef8
IT Spec. (Netwrk/Cust Support),IT ,"$87,339 - $111,749 a year",Full-time,Monday to Friday,Department of Human Services,"Washington, DC 20002 (Truxton Circle area)",3.5,https://www.indeed.com/rc/clk?jk=e8c491c0865d5ebe&fccid=12085f89e1b2bf51&vjs=3,e8c491c0865d5ebe,PostedPosted 9 days ago,2023-04-23T17:50:10.521Z," 
 This position will also provide assistance to agency user(s) by assisting in the configuration, development, creation, installation and maintenance…
",www.indeed.com/applystart?jk=e8c491c0865d5ebe
"Senior Manager, IT Audit",IT ,,Full-time,,Sallie Mae,"Hybrid remote in Newark, DE",3.6,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AlIVd5Z9xE1cdy5gk3DQPaPGBF7szVrnQGVwgGCyHZJ5O6fv2zoKFloNxUlDJYmO5OlhJryq5PMswUcq9KP_YnyuHUwpRRHXVEvQZMehoASTC8iI5QOMHSPznB7yNv_iUwZ7nsrCUSgCyarA9nTEgoSr4seC-3lPQPFAeT84ydcnNb4qS_d3bSCCM-dmjeyVoxxzzu-fYlvNrDK5cZxW5jTms74ViH8zL_YFKDcnNGGflPAWbEY3vERorU2A6b1BPb7tZ2PAMbxSD379bK66vOtoHl5OubR_ZbeVW81cmO22BTQMwX08kJwKFr3kxZRa7OkPAvIGFUblJ6qMXNBWXQZmVHI6kU0_8vGjc1bULBUOrvB-5PMYqGgyopqx-SvXC13d_BL9uKUxd70eJicC8meSSuyHINVhjX6PThcbMQD4_QSwGhqYpeKKJeEB2cfJ6oc_Wn3sdI1IDT50nBwv-FTRZV2pE3mrrCpU1IhINKkL8L3PtATwM1YieKUpVgqoxdHvs7XkmYP0wzr4Y-l2BgqxKYaoj19uqx8ntanqlUlZJKlRdXCh-nLiF9lzuj7A6lrpqbCwK-vg==&xkcb=SoDH-_M3QXvpskA0RD0JbzkdCdPP&p=2&fvj=0&vjs=3,589ddcb8d7a450e6,PostedPosted 30+ days ago,2023-04-23T17:50:10.521Z," 
 To help them plan their higher education, successfully finish, and prepare for life after school.
 Students need guidance navigating this important time in their…
",www.indeed.com/applystart?jk=589ddcb8d7a450e6
IT Desktop Support Specialist - AVP,IT ,"$100,240 - $150,360 a year",Full-time,,Citi,"Washington, DC",3.9,https://www.indeed.com/rc/clk?jk=e96ea77ee8ba7d23&fccid=5bcd1ef0a7f4fb99&vjs=3,e96ea77ee8ba7d23,PostedPosted 30+ days ago,2023-04-23T17:50:10.521Z," 
 Position will work with other CTI groups (desktop engineering, network, security, etc.) to ensure sound practices are employed.
",www.indeed.com/applystart?jk=e96ea77ee8ba7d23
Director of Broadcast and Media Technology,IT ,,,,"INSP, LLC","Charlotte, NC 28273 (Olde Whitehall area)",4.3,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BgtqFp747TBsSXsg-FxQMu_WiJQgQMXRqT1DAAPLpgGYWNSN9Y9GeGJePKYKNc6agTJ8BYHhHAA_n8K_l8foZNGqKu_HWPi58tNnDhmxNTaDscRp6VVRwd99qkKK7ALFGAykRolukBzDIqj8WypcNeuxuBn3yg5d9MzXYAWIihdWiP0CV0CEHybCLoLprsVs6cxchWjB2CEJfcdGyemPbKOhZ4w3v7s4B-jMze3pZM4PFFQJcHy4Avw11MJHDJ1Wl2KXTaChhRNfwceFEbfm1Nui1LkNgh54vzWYkVBZjyh2nxQVzP9AvWXkgnN_31AaUMUjZbn_f6k3C3LPvDOuBEe3WEtZyXyM4YLh9LVyz7258Fw8wqW3aCQ6G5DiKB1MsRLBCnVkBdYfC7Q12gRdbCW3qa92M6tKOcf2_w-wJveWLuVjzRF_DTWiJpIOiTIIh8KBE9PNP6TiZNX-53SpEE6wmOKZIfmzfBqZYFwF9c1EWBrpyWay9-QbRbOw5Pf3SXw48iMSfZ--f4pkYNfnwsRAJxFjQYcE8=&xkcb=SoD9-_M3QXvpskA0RD0PbzkdCdPP&p=4&fvj=1&vjs=3,f9962c5b57ab8ad1,EmployerActive 3 days ago,2023-04-23T17:50:10.521Z," 
 The Director of Broadcast Technology is responsible for the technical support of INSP and Inspiration TV linear television networks.
",www.indeed.com/applystart?jk=f9962c5b57ab8ad1
Senior IT Support Ops Engineer ~50% Remote,IT ,"$85,000 - $105,000 a year",Full-time,8 hour shift,F1 Networks Inc.,"Hybrid remote in Independence, OH 44131",4.6,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1Jpq11y9PSj8on_MicyM1vIIR0A7yIfXtsCDw2X1n9pSiXO4iivOKHrs0h_8IEwZFHVnqzBBwAzZFy28jHbmZ0OLoJ16bBWBn0Q_0VP3uJbEzPMogoYZ1bzMsWOPUAqORgv8lKAUmTsw7FiAs2pHraztA0jAg0gJPfJa28IOaqpbex58lQv9XNN_E1Ya59JGrFu-6MWGnJvu00OvUt91TDpixJPKFexFX59-lQEiTBM7YYxl-HQx4LapxA9CpVt0W8C5zBmVr33cGgxYyZFkMEgojZBYW4cxckJV4jWcRRpOnC7M7abUD2lSdq3WEwPcKxCSip7ZmlfoMoa0I_yBcP12lLBdcZ2UgsZ2nP-SKqEybaxLcDy1nvO_eYoR2b9dol7TZnWhIpgXPdQn6W5cniNbwg5daX9XNmUbzcyMSm33ighk5NB7ogxrEgLsqX51-YNsrsz8gxISBn9ApgxxCtKyMOBrXO0riRm5fX2gNttXIzFrdvl5EmMkT3B2vZf2OifDvJyRuLVNYdj3gR01v9pmxdJj4xpc=&xkcb=SoBJ-_M3QXvpskA0RD0ObzkdCdPP&p=5&fvj=1&vjs=3,7f80690791e589d5,EmployerActive 2 days ago,2023-04-23T17:50:10.522Z," 
 Our ""Frontline IT Ops"" Engineers serve as a hub for all IT service delivery, ensuring smooth daily IT operational support, projects, and technical strategies…
",www.indeed.com/applystart?jk=7f80690791e589d5
"Service Desk Specialist II, Work from Home",IT ,$25.04 - $37.56 an hour,Full-time,8 hour shift +1,Sutter Health,"Remote in Sacramento, CA",3.8,https://www.indeed.com/rc/clk?jk=b9e2ee5dd8d65ca5&fccid=2ec9e0488117aa05&vjs=3,b9e2ee5dd8d65ca5,PostedPosted 4 days ago,2023-04-23T17:50:10.522Z," 
 Provides first-level response to clients via phone, portal, and other modes of incoming contacts to provide resolution of technical problems and information…
",www.indeed.com/applystart?jk=b9e2ee5dd8d65ca5
Broadcast IT Production Support Specialist,IT ,,Full-time,,Warner Bros. Discovery,"Washington, DC 20002 (Capitol Hill area)+1 location",4.0,https://www.indeed.com/rc/clk?jk=fc70951fe1362bca&fccid=fdb210f6a49b1c13&vjs=3,fc70951fe1362bca,PostedPosted 10 days ago,2023-04-23T17:50:10.522Z," 
 Provide on-site user support for newsroom systems, edit clients for non-linear and digital and desktop PCs, including installation, problem correction, removal…
",www.indeed.com/applystart?jk=fc70951fe1362bca
Help Desk Analyst (Tier 1),IT ,$20.48 - $22.00 an hour,Full-time,,Leidos,"Temporarily Remote in Rockville, MD 20852+3 locations",3.7,https://www.indeed.com/rc/clk?jk=da3cb6ed7e6b9070&fccid=8765a4045377753a&vjs=3,da3cb6ed7e6b9070,PostedPosted 9 days ago,2023-04-23T17:50:10.523Z," 
 All support is provided via phone, and the help desk specialist will troubleshoot access issues such as password resets and VPN (Virtual Private Network), as…
",www.indeed.com/applystart?jk=da3cb6ed7e6b9070
Cybersecurity Risk Analyst,IT ,"From $75,000 a year",Full-time,Monday to Friday +1,"SIGA Technologies, Inc","Corvallis, OR 97333",4.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ATrf6XcS_5Jl1HpDcxPCsMXS10bLbgvBlWsYCwuLz7NqMa9LjlcOVwcbz6M_8f13SfH6n5uNb51zI1tt6CfOblBAstEcZj5vE-qjILpMmw_gcKu-YgdRCGb88lEGfTcpbYUBFKAi4jPFDNZFrohJ4F6iqCnfe7M8RYjKv5lIRFN_LDt1U2mJtKkTl5lAwsEKrQZRj-l5TuwMcjH_dl3EnZPlOxAjlSlO60xn91W9tFsQMcgbobeeZET9FqsfrecRiQRyAGpaVgS_siJ-TwZnPOOXFmtCbbll2P900wR-n7iyyoAA1mSSf3sbM39XifqvQ3vK01tsdYoSaUE5z6L0mgPId_iLsYRJj55Sk-ByRnVHhsqIxR-TM5z-wO7reDdwAJdNYKQ0IR8TNU2JJv_CfUzufmzFLnvmff9RlQHNKi8o46ysqHWD4VA8p89D_h7AR2vJheOtTtxPi8dyTJ9rpCMBZ9Bk3r0SjwiXkHLePDt5lLHQ8lZvfJrcrMn69Ms9skqGkT5guxBk-uGZjtrsDu&xkcb=SoA9-_M3QXvpskA0RD0CbzkdCdPP&p=9&fvj=1&vjs=3,b7d3e36229a988b1,EmployerActive 4 days ago,2023-04-23T17:50:10.523Z," 
 This role also oversees the outsourcing process for SIGA’s IT department and negotiation of IT contracts and service agreements.
",www.indeed.com/applystart?jk=b7d3e36229a988b1
