Position Name,Job ,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,Id,Posted At,Scraped At,Short Description,External Apply Link
Senior Finance Programmer Analyst,Business Analyst ,,Full-time,,Cornerstone Research,"Boston, MA 02116 (Back Bay area)+6 locations",4.1,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWtizTgUFDA9jJgA0fApmrgCjTAZtEdYH6wxa0sTvmyi0bMTHcc1qb4irmRoFBzXiive03hflgXC7I_4xDzV7mvf3LZccbVqcFUad_M5n1LR2CQ50axKmZS6K-MqlezWHu4COFO1XtAsd1FrmVBpEfSlzceCt_pWghkW1sCwFsoynfpZ-CSWUDEfl_z3w4-5C0iWB7Y5ayPEEoGuXuSOFunBdrzYAPuGasWrUr43l9x8UX84DFIsc6HVVFwIpUWXioGp2xI23fwWKio7x_5lxAenmFjYfo8wuI_t4zs_JOtlBShKsQIfIt5lWx3xqfbbmXe4WSJ5Li7zjrsYbU_ZAkE9RPt7h6HLWVNUCG5ZvWRXYMGMKm_5xR5GsMRgos4Bjff_VCTUmYwX2O-nNajNBUThFwsj1fvSSLQ20HeW7cx5vM_p2sAn8Gf5yvUJcT5ywqde5sNob8MXiKlisIu9T0QkSeF70F-JpXJ7g4ghID1vbxkEm355ErvZd50brgoU4NY1Sp7ifN5-hofloe_-LOYHlPPpJdDx6Vh5U1NdhoHQS1Winq-yJQKKJsmkie_Jok-gVoE6aUUJgQbwchGyqNOLSz_o49p-JSUzeBZicrb9PbsdRaL84Vm3pEsRG4C6jVf_8Uop5ztCfr8AWTO1Xn-5CCDd0o5dg9AH_xM8jCxXQHRVYaN9ZVas4MSXDJaHSxcqZMhv5GgOF7wcege7gvQAMe9FxZRbtaP8qagZQ2XkEg3irOJnDYcEcBQm_BQSr_q0rDr5PgEunlp6UoyWijluhwsTkugM5Cbc0ZZl1U6aOke8hDUSBYqlUJYk1tSgCFvKfm3e-QFWIh_ymNhT645FiewxjuvGv2GEBdFSMwQAiR_9ZDpM14Decu-QukTkMJNkQ6n5F0XMO6n0zU8YjU4CcPXjVjs4s=&xkcb=SoAc-_M3QXvInMwdxZ0tbzkdCdPP&p=0&fvj=0&vjs=3,f9963a5bdbe5deb9,PostedPosted 30+ days ago,2023-04-23T17:45:55.494Z," 
 Perform business systems analysis and support of company-wide IT business applications and ensure the successful performance of financial systems by performing…
",www.indeed.com/applystart?jk=f9963a5bdbe5deb9
"Business Analyst, Mid-Level",Business Analyst ,,Full-time,Monday to Friday +1,Referentia Systems Incorporated,"Hampton, VA 23666 (Magruder Area area)",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bk2LssUCR852aMAEfcTiGqUXuG3MEtSPtwpb0Bl7wEUM0Us3LDno_yZyNGyot-3iCwM1WfhbMcVuODE7OXJoWMD-7oQ54BQBZqI6AlwgaEC-ehU4Btc0zNFpO_py0H7bo3WPdBu1dTB7SNKC9hmkv8A7rX2YaENkjAR-OPl6IO06nwyyAeCHNKoukysP792FCw2rNUr7lfaCGSiRmhAsNXglo-cZlgzCZZjaOsOR1S5K748b16xrh6boaHRmMjH9PoERLokqu6XQS2BxZF1L2ldiJnQgFdk3LS7o0da7fF4m0kusxZE5jiPqEQOHAz-d_zZQE-QkVnhLxSnQUwvABRzJ4HzICOAB_l-uuy3QeopKXLLNxszRuGf6w8tk3rcZCz-X6ROk0t7eGDcbMu7Pv4yfkp8tozZrnrn9bf7p5RLFbErHLEAqJvMYCgO8q028mmpfuq7yFN20znbCgaYzE4pHBUTAxrg_8R6ePkyPEl-d1rD_ZEWN7z-BOH4JoORR9KrLeub-9_WPerbRnKdQLgwP3YnCXZJJT-AouB2tk4bUXULyFrfOLYoOr09kVLu2sG1OTOPc3KlBxpOMRbl4z8MGHQKHScHH6eK-0gke3zaGym9DEwXjspSZnMtlZiACKG8jA-RhWsDuUseyJzGiBrwZSqXrEDlk3_k1Zqod5YyajvJmL44j5cg8-XrSWKGM94w0-krY_vEodfMB9Pd2BHeAadfAxwCP-rHG56QV5afYPShPFwml2Q&xkcb=SoCo-_M3QXvInMwdxZ0sbzkdCdPP&p=1&fvj=0&vjs=3,4d00f69107b8597b,EmployerActive 10 days ago,2023-04-23T17:45:55.495Z,"Must have at least five (5) years of work experience in business analyst or project management.
 Clearly defines detailed project objectives by understanding…",www.indeed.com/applystart?jk=4d00f69107b8597b
HR Business Intelligence Analyst Sr,Business Analyst ,,Full-time,Monday to Friday,Doosan Bobcat,"Hybrid remote in West Fargo, ND 58078+5 locations",3.7,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-doY9uzuSR5F8UdvMX7tLh72C2wXu8rWmPCJP-ls9GHheJmKRaSxyFRXZzsCUiebKOQIl9IOjF75DuUOH7ptPxhIcL4Ycs-GQBybotY_atE8-jAm2G7-UBVGGoeDOC8eyMMYbZRdy5JBNTVB-bLO_4qR8cRwuPW3BoPExK_NVNra1xGOHtZOx2gnusrO9cXqMa0N0BNjotcXCI-DNcnebJogafRFMRNaxC1U0Bk4p6hxjL_Lj60JXSzu9pt3i2yfh0zv8J56kBWpmNiTMhaDbO2RzrLlGg1Zj-MNWvxQIqs44B1joSLEBdLJs9tAVCyvLjvNWP1930Qj_03olpkeN2d8yqcKrEVPm_ID_LvrL6mJ6kOFVVpK4V-qeZXTM0gHhfjm1giDdOp4R9YxUg3rBr-24H3GmO1Z15m2LZLXKE_frAP7AlWDqjVJyTWNznD5U9GT886Ipv2NXVj3fBrtQ3JGUirlgz5KzhVUvb18PZ4BFnrRUcxceNw6_XtTVIB6UXUgf8SE0H8X2jmLeTL8gDghw3xsWiyQa8Px4mo5tiA==&xkcb=SoBB-_M3QXvInMwdxZ0jbzkdCdPP&p=2&fvj=1&vjs=3,fe24c5afaa21387f,EmployerActive 9 days ago,2023-04-23T17:45:55.495Z," 
 This role will provide data infrastructure, records, analysis and insight.
 Responsible for transforming data into actionable decision points designed to achieve…
",www.indeed.com/applystart?jk=fe24c5afaa21387f
IT Senior Business Analyst,Business Analyst ,"$94,640 - $128,045 a year",Full-time,,City and County of Broomfield,"Broomfield, CO 80020",4.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CTUvaOq--0pmmbn5ob5-GOvg-jRBkYC0e8Sw-ThUbPXbEND5WwGDBnDiwBEeuhIFgvtcVjolkOyMOlW_hFT7pdNe9lbW660nHLktoIyWRrT4SG46OnxOR2aybKxB_mRLv-uvMhKDTuERKmLErvHurxtZ1-5GRejFozjiBR9iVXvYU5Vpl81iIHzvfIeIknD9HBpvBxODjbVJkATFnUIY-Reptx8a2wp2y-DeS_6_dfEkx5HLOap_a2K3WBLuABXHIzVYygUrqPqtHSMjsqDHYhieR2XOuWdjjDu83tQMwJtPIH4cfJaN_o6yqEL5v_txd6RMVNwp8PVzRtpcr65y9gKVqmLrfEqUJz1gAjvsTmMZ-Rht6JGv-CQFjvv0UsOh4MjuaKd47m0nmhlYUVpLba19lz2BtJNiQpbv2jt4M1laP4llItpfk2omPGOf7NGhF6DS5_BJ8DdauFMNSycq1u-babiTyacV1n4BRgUGr54lP-lmV0J6BhPwr4BAQDvSKeCwcRMbZQ1Z3PBIYVzgIYxlurA5AVRUR6-cnpHc0vsguYxNosqRFQgjJRkviUJl8=&xkcb=SoD1-_M3QXvInMwdxZ0ibzkdCdPP&p=3&fvj=0&vjs=3,36ff76be2705d0bb,PostedPosted 12 days ago,2023-04-23T17:45:55.495Z," 
 Advanced knowledge of principles of business analysis/design of business applications and processes.
 An analytical and creative mind to solve complex business…
",www.indeed.com/applystart?jk=36ff76be2705d0bb
Business Analyst,Business Analyst ,,Full-time,Additional job detailsHealth insurancePaid time offDental insurance+ 3 more,Select Medical,"Mechanicsburg, PA 17055",3.1,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AdLsoVbRyv6J-eiQZyI3-EJEaDlmGzR3ECFtTkKzPlKMGUZInTurrRCosdWlnuNh2XKcU5WFgt7D9Vmo9NWOHQelhxGCgK8qRFlcWQNOS7yqCdqvwwUBAh6gwtNs5Y53YIO9sqiYhps-d8d3BEDgH35E47bFuApSo1eV8xv6NPaJopLJ0FjXH-ucrrACCCRGYcY1DpbmI0dnVrWcvzzM6NT6I2XD_7t0tUhEwVtAoJBnC5G6zmZ03IjB7ZL_1bOWJNitqdjdsrIJe8ZK5HDiadOUCMaTFQy1d60Of4IndlqbyIourtvu_qqT-Cj1SCu7KPntJaX-M6G2SGcKOf--t5GSQtsch_fsJoIMjxl-ly57QshOyscVa0xj3yQVfp1KDhWL-mTHo713lDeUIr7Uhz9Jih6gzWPTaq9yMAe8c6qdmfUXSBgOavIypo6bpp7COAgSq9cO2X_5YnlIayfwDiyKoHLqnOO4VeWLNX0W_7rLLEgdfetdlkRr3BYAh2Gjiv4-o4xyVG8ZEOCh-8QpCbNE6ODpYN7HvfUh-zaWa9w7sPxM8C0Lh-hqz3QrjH-23m9XI2zJRUakQTZHiswNWL0zG-KyXjaEAEJGqaQqwVm8lP_BbYcyhDy9xDFvefIt5ARyqHRpj8RwmzDc-uY8-yqbecTlFOomQad3jn4Efgyk1el6Qcx0N7V9DA_A2IvAyeR4D0NWJ8KZBrIRO4L7MzYMYyShke2s6WKlPanP4Gw204fWaQL3uXYpfvo0M693iTZ-nod1Kuow==&xkcb=SoBo-_M3QXvInMwdxZ0hbzkdCdPP&p=4&fvj=0&vjs=3,8fd14e3d14db7900,PostedPosted 4 days ago,2023-04-23T17:45:55.496Z," 
 Ability to collaborate with team and business operators.
 Ability to operate using standard methodologies for the completion of tasks within an agile environment…
",www.indeed.com/applystart?jk=8fd14e3d14db7900
Junior Business Analyst,Business Analyst ,,Full-time,,M Powered Strategies,"Washington, DC 20006 (Downtown area)",2.8,https://www.indeed.com/rc/clk?jk=f12c4923377d2a18&fccid=1ed5746e630d3ac6&vjs=3,f12c4923377d2a18,PostedPosted 5 days ago,2023-04-23T17:45:55.496Z," 
 Strong ability to use Excel - processing large quantities of data, using pivot tables, using conditional formatting, applying business rules, modeling, etc.
",www.indeed.com/applystart?jk=f12c4923377d2a18
Entry Level Business Analyst,Business Analyst ,"$65,000 - $85,000 a year",Full-time,Monday to Friday +4,CapitalPlanHoldings,Remote,,https://www.indeed.com/company/CapitalPlanHoldings/jobs/Entry-Level-Analyst-3f92d910cbc38a62?fccid=15bb5e29655cd319&vjs=3,3f92d910cbc38a62,PostedPosted 3 days ago,2023-04-23T17:45:55.496Z," 
 Work with superiors on the improvement of business performance, collect the data from sources, and analyze it to complete the weekly reports.
",www.indeed.com/applystart?jk=3f92d910cbc38a62
BUSINESS SYSTEMS ANALYST,Business Analyst ,"$4,625 a month",Full-time,,Guilford County Schools,"Greensboro, NC 27401 (Fisher Park area)",3.8,https://www.indeed.com/rc/clk?jk=cc2e7fd7372c01cb&fccid=1f03fab578f3905e&vjs=3,cc2e7fd7372c01cb,PostedPosted 30+ days ago,2023-04-23T17:45:55.497Z," 
 Fair Labor Standards Act Classification: Non-Exempt.
",www.indeed.com/applystart?jk=cc2e7fd7372c01cb
Business Analyst I,Business Analyst ,$24.81 - $44.66 an hour,Full-time,,Coordinated Care,"Hybrid remote in Washington, DC+10 locations",3.2,https://www.indeed.com/rc/clk?jk=f8767877ba68c42f&fccid=5ece327da33e0274&vjs=3,f8767877ba68c42f,PostedPosted 30+ days ago,2023-04-23T17:45:55.497Z,"0-2 years of business process analysis (documenting business process, gathering requirements) experience in healthcare industry and/or working in a data driven…",www.indeed.com/applystart?jk=f8767877ba68c42f
Entry Level Business Analyst,Business Analyst ,"$65,000 - $85,000 a year",Full-time,Monday to Friday +3,BACloudSystems,Remote,,https://www.indeed.com/company/BACloudSystems/jobs/Entry-Level-Analyst-5c6f0b44f07ebdc7?fccid=d850b3ee120c31ef&vjs=3,5c6f0b44f07ebdc7,PostedPosted 2 days ago,2023-04-23T17:45:55.497Z," 
 Good understanding in business document skills including BRD, FRD and SRS.
 Knowledge in transforming business process requirements into Functional Requirements,…
",www.indeed.com/applystart?jk=5c6f0b44f07ebdc7
