Position Name,Job,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,Id,Posted At,Scraped At,Short Description,External Apply Link
Staff Data Engineer,Data Engineer ,"$140,000 - $220,000 a year",Full-time,8 hour shift,Eaze,Remote,2.8,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DpMs4Q03aKo3URo_66UECVmEJOcfaVwGk_2pGxi6wSI0VsOmE6zFiNtcHUmfq4_2XrJ8By7of-00dn2QRQM3zJYa0uPvh7Dx88evD14BjNeliI1SKPMUvXbAldHwHzC5xtgSQrxyJt5FOEpHsvKBaeRSn49HhFTUgTHia-BA1M_bcQKsTiQmaYes5mYi9fR61TjbQTzDpf6Vx9iXSrkgZJ4G4o8TXSJr7gAtxRmOxZq3qyR4mlMKmOUnq7SBj40ioda3nxjCNKmOyR-QFSTLJ9XvsNVfDh9c6XzS1Fx5lluq5Y7jfoTiT83O0Qrvub75wbJcfZ4AHz4_ASVUW21GgHVuDJ-tPnHl7qrPWarCG9DON_y7tKWHs5F0_DdY7P2yg67zsZ5zdt-Ftnv8ZeHM6lh1RMc9HAbpduYw-hmYpBt937U_qIuHHFOdynYFYvLA4jmI8KDrKnQvJGgLvknhtfHdEWgt4YwiOWYJzsvijQyylAXa8FI0o5mALINMzm3A2lpAI-jcUFUwAQp7fsTswk&xkcb=SoAU-_M3QXgYlyQSJB0LbzkdCdPP&p=0&fvj=1&vjs=3,5192fb3d2e80771c,EmployerActive 6 days ago,2023-04-23T17:56:51.040Z,"Partner with product managers, data scientists, and engineers to solve problems that require data.
 5+ years of experience of data engineering or engineering…",www.indeed.com/applystart?jk=5192fb3d2e80771c
Data Mining and Analytics Engineer,Data Engineer ,,Full-time,,BAE Systems,"Hybrid remote in Sterling, VA 20166",3.8,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AhvKCKnyqjkpSCFI867EftGfHhcz2_T47boZRDCVyB_yxDsSewd_FGyFB8ZbaRlMq10TAqiX1gvW4lYlJsNsy2KlwuL-0LvWI8BGYlBl8TgI2TU8eF75JU_qm-TSEJd4I88JaQOV7HFntPsdAGTueOsNPhdBWIakqO3bxdu7naqHKO9zI1mPvZEDo9x5b1gz9GCPFomIjqrJftzVHPbj7RFot1-eYQMPTgP7UdP8HADvzz8Pl8N57IyK9jmcrLzHviEkoHUVsPfV7QwOl4meu-r67Lby-vSIURhdQfJyadDNuXNdDSLC_dWwRjS_-DxUFlYcCU9qf4CePkEseKxg-Xz3arGqaGXta8L4cvBoVCYWkP610S8pxOl5aHBDo0pSF_NHqws3XsA4HPvZ_KjRd9H5Tz7ygiokj3ZBaFtqyh092dScmC2yjZfB-R4kN937edaNswcGO6k9NrZYP0Pie1LoF6TDGBNlIcTCHYdf2J2cyW8RxIRQcPVnm06Q4WpxqlPrT1Ggygs4HNYViOxak3qdTOmHcKPZtVvVGuWxqLIa61O7QavLdGrZV1AVoOgVbzPdhsO9ijuosujKtuyOSned4OYdhCZCxC6HGeHGacc2YGRdxSyCOEu0kLch453Z0iTzFa79sqXS4jM6Mi9xH9gio5pXhUq6E9rTyOTXjDhPY6OSqLmpIgXkOXfDta1mP8ZIgso2pwHD9FcVf3467-nSoTuru3jIbcW8fWYn9r6rkEiybZfuC8xc9Ga1zczAfET83DYgZjXAw3R8TAVToZKrY7IXsv16-ZjXBM3BNlO58yE5A9NXMtcjWJJLJgU2-7A48XK9iIX30nctmb3yU9Z3bGPXwvl5C6ttaLUcS-4uAE8LtPInYjjX2BzNtFAdV4Ku18FPZNnH_HJ9-sFHcO0tt2d5ebbLc5KavA9G5eOLI0th6JGznQtyWTK_NF_LlICnK244MqS2WDFPL5Gn2F8SeXmlQVLE-HnwDpm4IcYkizoNtcX35MH_g29ep5A1A=&xkcb=SoCg-_M3QXgYlyQSJB0KbzkdCdPP&p=1&fvj=0&vjs=3,be687a92342cf658,PostedPosted 30+ days ago,2023-04-23T17:56:51.041Z," 
 Designing data models, building data warehouses and data lakes, automating data pipelines and working with datasets of all sizes.
 BS degree in a related field.
",www.indeed.com/applystart?jk=be687a92342cf658
Senior Data Engineer - XC,Data Engineer ,,Full-time,,Bosch Group,"Plymouth, MI 48170",4.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C6GWNaujYxALY5cE2_tEHrxFJ_nxpjx3wh1ke1yD6QSOx4keu5kQjQTd2I7855sn6CLHVjtTs7RunqDkOryPFrZmWvkSD0l5Imn1G3NQ2XWVIOXCJ9Qk-U1xGEXRxxadfbVBtfEEe-YAGu8Ka5-X8aAtaVXbETkpkvgNa1bHh8XbGW2tc63qORYPxdpOM_H79F4iW0yXq0D9B9YUqEf_CKW4X61As5pglcBJC_yCmDHTQO7zCfEL2QXeazavmxgk-rpoOMWH7eyCxuPpeOsshF-RY0KaIZF3yhaT55yU7HTnYAc0ltHAgZaeu_NSimNAQEyDpvo-CqsvPgs4qzKJKFMgppImLMYF4hGLypEhJzx1b2CMYutcQMbD45N1iSrEDg9a5RuxfmsQmAavDfGsa0WAQzQkbj1Sak0yuMyOVcCn53-NyA6Tlkj6QGlzyX6eqbS9LeXPn873Xrk2QI8Kuz2jzB2z3HKYk6rpCXg60L7HkLdb6ynKX-Xwm0W3quBItaNHQC6V0stBIlC9ZKI2bJV88vahcAZTIWsyv7fngg6ERWBhOhvlGFi0U8kZF_0j5vaabTtfGYQQcVZOEeEbJXUCvAZt3nnHEnioqD-0jWKni5QdRwI26wARBS7qTQ6AdQg9VzliEol_6IV4pEQ27IoQ50DBVpmE6rEAQBgqGX-stjFXPioUj3f8kEsNimkxNpfOm78oRRG_P4Yf7mTOiXHZoLBY1ots6oT9S5P3A0trWQuITHJlMj3RkDc1D28-DjNbVXfkRSOjHsdWgyMPgKb-dj9tY4kLJpyhZPalm4GYAjTi3Jo5XzeLv6A2l8gr21QvgvA1Dron_dGLAHfq44-o4XqlbEu1TEGvskfcr3muhWdDV83kmVF_D1tFcgcf0VrC2zZg5peRvzJ-qv21rPH8X4tiMLnmdm7ritlvXnCZco_c3GDUFu-_BULqLQlmQpKue95X7wU0e7R2rwrS1EIZnpvgXBC7WeMYLsw9h_5bOjKCbHqis0F-e65ACGxlKl5sWbvk6bUHEUPHjlQTJHcP6yV7SDDDXHDPSYNUdh79s8rsgmrDqYz-QWjd_wBzCo4IfuFQSEVUwiUBg-GMsS6N_dkx2T-bz_rPuh6LgilyIUOujUgEq37qkysT3SJKlGRXSqUS9ucX0pOMzpHTjDamAO9vZhHchjW4W7afUBfgExN1Wq_ig2X8yHW3AyO3k=&xkcb=SoA9-_M3QXgYlyQSJB0JbzkdCdPP&p=2&fvj=0&vjs=3,b114ebf1a71997ef,PostedPosted 30+ days ago,2023-04-23T17:56:51.041Z," 
 Experience in designing data models and choice of respective data formats.
 You will collaborate with scientists, electrical engineers, and machine learning…
",www.indeed.com/applystart?jk=b114ebf1a71997ef
Advanced Data Engineer,Data Engineer ,,Full-time,,Wintrust Financial,"Rosemont, IL 60018+1 location",3.5,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C60lQTmdl-W2XCIhgpKPHrzigdbkqvafJrlrWvWnjXWQEbdZH8PpG63bSVdVWTvn0F7yyljEdcwClfCBxlvT3-JKDZj2Nesw4n4B6AjfOwO3ird0XyaKPpjk0JZLNLl3Kiec3GwtJL6xg8wjbt3-eUKH0x3lJrqckN5IvDqCiTGc6_6PGS-937LuWVBtylqCH46EH5VNG-FquYQ9kBlarowR6hgw9zTWC8JobGlYPjZwO7bxES4G9QgCYVdrbblyJCOO0RJtD2NtdSYlQUvg5Un38I_l27p6NX9EPDa6_51eSTNPz1p0Lw7c7JjR3JGZdvxE6xfZFkRZOZ-AVNvahKLEkf1H9UHsMaz--E1iwdvZikFYVtSBUb_nhsAT_hdXZ0FvHYYqDKvjrZSaQsborCnaP8_aHBeNnzupu6kOSlSI8eQQvVDbc5ep2K152949qGxQ9cGFkM_yVlwkepuFrvBIkSni-62kZDvmGgOzulCBWhfGcyIqMrTvVTSA8Rork=&xkcb=SoCJ-_M3QXgYlyQSJB0IbzkdCdPP&p=3&fvj=0&vjs=3,903612a0fdb22cbe,PostedPosted 22 days ago,2023-04-23T17:56:51.041Z,"3+ years’ experience in Data Engineering - designing, implementing data persistence, data processing, data integration and MDM Solution.",www.indeed.com/applystart?jk=903612a0fdb22cbe
Data Analytics Engineer,Data Engineer ,"$125,000 - $130,000 a year",Full-time,,ebbo,United States,4.6,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DT10B7dRbXJczkttrNyHCFfNwI1RoPGB7LLPLO0l5xPldWxrD99mQBK1Ytki2Ug2ixpNH9znC4QZpTBFMec9P_GKauv2exUtP0i3hKpxZoogf459nitgHFMAn7AWfM0684I5LlZwqrjzvcZZgkQf2a6qVS8CdcgjdSr9dayzwBsooVbTpWE-BbznxQ_2akOon4wfSudmmrvUPTt-8knj_umOrASCOV0JTwv_KZLM50xWhwUL_Uviv0e2Xj3jlHtck00URQXac2BnQBFZ8lAnko4pBNu0dt93bKmTE_odih-haUAbL9Xv8_8VbNeylDgV4Bupu_x_9Uk48_xz0RFwB2bj1OXNpeThuldOJ0ryzzYPtkUpsu7XvulQLlbTI4QZTmnznnHTBwvnw2wro77s03ZG0pRl-pXSu0p1ykZNFhn2nvAT_DBaNsgrN1oVqboWUbEQwdVf770Wl0fM_g76JTIbA6QsZ6cymY1itD_osKngnhy-lAVpS0Ovvtkp0R-BE=&xkcb=SoAH-_M3QXgYlyQSJB0PbzkdCdPP&p=4&fvj=0&vjs=3,033717cf539c7c9d,PostedPosted 5 days ago,2023-04-23T17:56:51.042Z," 
 Collaborate with data and analytics experts to continually improve the data systems and processes.
 Experience in building and optimizing big data pipelines,…
",www.indeed.com/applystart?jk=033717cf539c7c9d
"Data Engineer, Election Insights (all-levels)",Data Engineer ,,Full-time,,The Washington Post,"Washington, DC",4.0,https://www.indeed.com/rc/clk?jk=4a3e02a3cbc44309&fccid=9502fdf46127ff92&vjs=3,4a3e02a3cbc44309,PostedPosted 17 days ago,2023-04-23T17:56:51.042Z," 
 Work closely with our data scientists and our back-end engineers to develop and maintain pipelines for election data.
 A minimum of one year of experience.
",www.indeed.com/applystart?jk=4a3e02a3cbc44309
Data Engineer (P),Data Engineer ,"$140,000 - $180,000 a year",Full-time,Monday to Friday +1,DCI Solutions,"Washington, DC",,https://www.indeed.com/company/DCI-Solutions/jobs/Data-Engineer-1d3fdf8f153bf14d?fccid=ef458547d0b90f7b&vjs=3,1d3fdf8f153bf14d,EmployerActive 2 days ago,2023-04-23T17:56:51.042Z," 
 Write code to build and maintain enterprise data integration pipelines.
 DCI Job Requirement for: *Data Engineer*.
 Serve as a Data Engineer.
",www.indeed.com/applystart?jk=1d3fdf8f153bf14d
"Solutions Engineer, Data",Data Engineer ,"$154,000 - $216,300 a year",Full-time,,Liberty Mutual,"Dover, NH+5 locations",3.6,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DepOg7TDxGKZPUDK5aMJwXQn2YTYIL3PVVUU2ENsp1lfsN6FS_mRfu3T7TjuZ6itoSn0HL4z9A93jzihch-GryLd1K5ayGvQ-S9QQoKU2RSgpIoMvgd39CHvw5wvNspaDzPOo6PjCLzLDqXcvleU2ffqj75JfYPpdybKkUAdk9qUA-YQ80g-1T1buDqFWNcxxmXGUOt_YJG4Ji3kV8Ej56kVwDeUf7DI0y3zvLVukuqSKeALb0NkIeYwC6xSVR_Hmt1V0tnfb7oZ3ZKp-RMlj6xWalhTIpRDmB0argAAj5CvCzjMXJ3YZV4jwgOx-HFRKm88gBvy93sUIK-cWy_WJL_PYeh0TLtRoyfA9Jxbloq7ou_UTMxkdZ9qCqyj5aLW4p1rlk9e0JQld4PBb57CHg9A5s7uVcs3fk-bvAxbCukJOAlkXhd6jdSe8rBbk3M64tVZkU_ZTCVDv287Xu2ZYXydpXUBjCOrHkoMDAzXhIf_un61Z3rcLTFn5e9ng5s059n6O-3gmcz-Nl2nmpSLSddvoJcCX9a3NXSSe1dKa4CKJ68XOE-zYqtqT10O4bQd_PMtWHz-wB060vvqmP3zG-qhRsMdJF6oWApZVJX4WU82Mgp6vck7Vb1oFal-cnfDW2ztChgeYQ0HWwucqg26RFDhhxG2_5p8JnputzkY9I9FbVlcknfKMrNIgBaTuY6Q_Af7qsYekNWZ4vR-eHp0R8uYP94eQrM4cXYNo-ncJrRmPPxW7JudsQL_gm970anYGYnoi0IXkLlifJHjox8VazmPge0RwW_BpLG4vYygKQvRV6wovi1rE5Bb0MR_L4oOndf_Ucdtm8CzFRE4-xXmepj6FbZw7ejuJOPzETBLZTrM67Zdvodl5P&xkcb=SoCa-_M3QXgYlyQSJB0MbzkdCdPP&p=7&fvj=0&vjs=3,c6fa85006b223501,PostedPosted 10 days ago,2023-04-23T17:56:51.043Z," 
 As a Solutions Engineer within Global Risk Solutions you will work with other software engineers, data engineers, solutions engineers, architects, managers, and…
",www.indeed.com/applystart?jk=c6fa85006b223501
Data Engineer - Jr/Mid Level (Remote),Data Engineer ,"$75,000 - $120,000 a year",Full-time,,pulseData,Remote in United States+1 location,,https://www.indeed.com/rc/clk?jk=20e172492cafcf28&fccid=2c23f29fcd5c78da&vjs=3,20e172492cafcf28,PostedPosted 29 days ago,2023-04-23T17:56:51.043Z," 
 Experience working on healthcare data is a plus!
 Together, we use data science to deliver more human care.
 You'll be managing and monitoring client interfaces…
",www.indeed.com/applystart?jk=20e172492cafcf28
DATA ENGINEER I,Data Engineer ,"$74,240 - $129,920 a year",Full-time,,Loudoun County Government,"Leesburg, VA",3.8,https://www.indeed.com/rc/clk?jk=16ed6b6f9d2be1ac&fccid=d8c44c55ef6d33fe&vjs=3,16ed6b6f9d2be1ac,PostedPosted 5 days ago,2023-04-23T17:56:51.043Z," 
 Evaluating new data sources for acquisition and integration.
 The Data Engineer will be responsible for ensuring data accessibility across the organization and…
",www.indeed.com/applystart?jk=16ed6b6f9d2be1ac
