Position Name,Job,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,Id,Posted At,Scraped At,Short Description,External Apply Link
Director of Women's Services,Healthcare Management ,,Full-time,,Bolivar Medical Center,"Cleveland, MS 38732",3.8,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BmCiClC53x9ojlJAJe2dnHrQivuF3BLOILejmgpYLFVfdU1PvcBoRPmAf_2reW5fqz-8QVQwRaPWstZtuJGXPMhyz1WWHYlBQIrKx1wQRhK_Ozrrhi-ILh-AfFcXsSmWuPHg3WgOo62tBy2JfjAz95iNBH77kfjma76yX_rVEW-J7Y5nMARl4NtfBTh6Xx-0sLGekFjCwdxjyAw1Xwu4IPMVyA1tnkTGu7ZUemksd1miksXAAL4b3R4SBvuY4CqK2X82GP3oE0-WeljXpubN8mqXrLZPrUOY_ASH-es40bNTWLzaVh9RbW-8rW6nGmvto2fpAwsMm9Qp6CJwXcEU9YmOcSVDcusXphb1XWZU9cAuGcBds92bWWJalEAPNbT3K8ndgdfV-3JT94V05wFYh7U8FdSsjo_5OQ1JfTPhNvNhoyGpyZEZXUXtfSrs4CoW7LoIHQSIv8kQ32U5zZ8Q2rJIkbXdD5zwO8lrHsZa0xH-QZNNtYNAF8AlDW4FmmauI3jeV3NQ12rW0QZ3j2ei9AkSsisZTu7DA3BvciVur69CpNEwJ8WYte&xkcb=SoAe-_M3QXvBwzA0RD0LbzkdCdPP&p=0&fvj=1&vjs=3,7d46e088272f423d,EmployerActive 3 days ago,2023-04-23T17:46:51.335Z," 
 Utilizes appropriate pain management techniques.
 Educates the patient and family regarding pain management.
 Provides input and standards in formulating patient…
",www.indeed.com/applystart?jk=7d46e088272f423d
Health Services Director - Registered Nurse,Healthcare Management ,,Full-time,Monday to Friday,"Prestige Care, Inc.","Pendleton, OR 97801+10 locations",2.7,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BLRON6jfZ9FKSF4kG14HGWqRbD9muvmXmXEWSsiYAQzmfSTH-7ibyXVsgmZHmTLmosYFkKfBHrwI6HTm9se-m8KqXZvGa9I0l6rrwAmF538eEKEYicSM-RTJ917n2nZ77DtmHO2t_mmeAs6aZ0bazBC6jdXnuTVIWB435ks7vzVWs8144UgL4thBB0lUErw0C8dZzPg0s34UXTijfB_R_ykJmcwx7gRzqFrUlPvzHa1PD1WxQpb37s5oxjW3lvROgPVDtplhkVBf123mOyAqeLgwW85CtnEv-wTbxRBKyZV0hXWyeDx_SlpUzT-ZYOTLVzStKEVGGQ7EKj-OvJ8XcHMVVlkevcKDIWXCLwUPrFdKrpfRo6PoR26NzoWl5ZUwWlSnH2HWx0GqKyv5myCM7nYxX-lcM_DuvFVFrxPeL4a-93fNSgA3RZ3XqMwJdkqlFCwNViJOtJ11ELKnisbHUE-V9WpKu4cqlzbYSe2XFpxvDGy2xLwfe5Ssu-qQ7kx1cRmOcuZH7VMC0OTBOEoz-FGR5oZBZuhfLsph9V92wdj8f5TalLRJcRGosWmiNUe3w=&xkcb=SoCq-_M3QXvBwzA0RD0KbzkdCdPP&p=1&fvj=1&vjs=3,75134fbb214e21e8,EmployerActive 2 days ago,2023-04-23T17:46:51.335Z," 
 Experience in geriatric nursing, medication administration, case management, training/staff development, budgets and team management preferred.
",www.indeed.com/applystart?jk=75134fbb214e21e8
Program Coordinator I,Healthcare Management ,$17.83 - $30.33 an hour,Full-time,,Coordinated Care,"Hybrid remote in Washington, DC+4 locations",3.2,https://www.indeed.com/rc/clk?jk=7a151ecfa759eb7a&fccid=5ece327da33e0274&vjs=3,7a151ecfa759eb7a,PostedPosted 30+ days ago,2023-04-23T17:46:51.336Z," 
 Screen members by priority for case management (CM) assessment.
 Position Purpose: Assist in activities related to the medical and psychosocial aspects of…
",www.indeed.com/applystart?jk=7a151ecfa759eb7a
Director of Surgery,Healthcare Management ,,Full-time,Monday to Friday +1,Kindred Hospitals,"Rancho Cucamonga, CA 91730",3.3,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cg8494SvOpoMJ5qyEugwWz88lN5ht6B8JLKzo65wC7lBaonjMCi9xCpQvPSLZaNHG6j3PNHahyZNXtxxxpg4dbp9L_87zMXTCsoonWwIXa-3ZmKARawPafLLwU--Jng_j8GuISnXmFhuUUYO3_0eM5WHdq314J21cvH1OQAKQg2N4na3U6qmDi-REdSIuvWGgTkcZNc5sCyKd4IDfP8pESXoFK0yniNzGrk0JBubjRU3u9cgORD-5BP6rbKzoc7jovxueyT5XAgmoIS1QpLnEnloSHLRzVkcSLd0L5l4vacAf0efo9sEQ4_dPYg8MuYx2cSrm1Z9uxAxaOeRzTCsNg3M4WsUcgfpgGmu8x17cMKTDRsw1qJYyIqOHjXlknu3204FdtU9S6SySV31x7oMCNdATVX5QJRTPbJpi_lSLLAuMw-C5FlaDGkJQahW3CPK_uCfrzD204Ln7PmrAOr42bz0t-G-AKr_VQ1_5pqqFKM10hIadqDAInaPRcFAI-VThVhA-1NVxqmXG6kmYmrmzVOqfHoH0kK6N9XjAyfhKEYQ==&xkcb=SoCD-_M3QXvBwzA0RD0IbzkdCdPP&p=3&fvj=1&vjs=3,ecab535cd6ff5437,EmployerActive 3 days ago,2023-04-23T17:46:51.336Z,"Kindred Hospital Rancho* is a 55 bed long-term acute care hospital, we offer the same critical care that patients receive in a traditional hospital or intensive…",www.indeed.com/applystart?jk=ecab535cd6ff5437
"Operations Manager, Provider Success (Remote)",Healthcare Management ,,Full-time,,Path Mental Health,"Remote in Los Angeles, CA",4.7,https://www.indeed.com/rc/clk?jk=5824c54186b26f1d&fccid=d8ebbe8fe3f19bc6&vjs=3,5824c54186b26f1d,PostedPosted 1 day ago,2023-04-23T17:46:51.336Z," 
 Experience with high-growth startups, healthcare or as a strategy consultant.
 With Path, it's easy to find a high-quality therapist or psychiatric clinician who…
",www.indeed.com/applystart?jk=5824c54186b26f1d
Clinical Operations Manager,Healthcare Management ,,Full-time,,Oshi Health,Remote,,https://www.indeed.com/rc/clk?jk=ef9d18d3aeda01f3&fccid=3a8c2344c414c7d2&vjs=3,ef9d18d3aeda01f3,PostedPosted 5 days ago,2023-04-23T17:46:51.337Z," 
 Track record of success and career growth in operational roles in digital healthcare, preferably working within a healthcare delivery (i.e. provider)…
",www.indeed.com/applystart?jk=ef9d18d3aeda01f3
Assistant Director of Nursing (ADON),Healthcare Management ,,Full-time,On call,Essex Center,"Elizabethtown, NY 12932",2.4,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B9_yWS8fI7jVDdRGnREsxHwIl_UJ1QYWG0YUXZWmlnpjzkckGOMHjPMHwfEp737ooRWhAs04GpfHlT0uvTypMA14tyqdPhgfvxVnr2ttPhubJguarh7kmP2WLfuGkmUxaPQpABI2C-aMwJTXnwFNglG2vT_dnfmmrhQJGBpiadtWACnzlhCSGSc4jv8wRbpBw-u1DeqeWD3GcdBaQ4yndjbOQhDkqvXftbT50g4_wyuFMx8thUs14-XO5eq100XbmeGwvyYYeqhnfuzpGjSXbGTtGlCW5dVHuqLzzvqFQr7e7vWcmFaPhpWqps1J-7UY-fqFYZaz8eWd9_wPjcxSxjqFHOZzteHQw8sMPk3Aq_UXbT97HUB18IiRXMY39JnPqg-M7ENIzv1tfRTIfjZPU5mEmCNf7zyZtu0LIJQs6C5KNCnF4-TdhpEeL2tDO3czKiKi8qUtzs85vc-1Lq3pylUDhJHrGEgKdPPG0pLUFzfddaML5vl5iERtRE1FkJqHnYBkszG--tv9kwIBFIeuKFqWcRuswwn_6NzmlGtOwD0a2AyeLH9zDVjJvyJYUC3KU7karcMrZXk30UMQ3FvKkxY9s_iwcbE7cdTCWw3qCMKDL0hSgvBKWLNNtBOnTPcaOyl35grHvhs9FcoH3RBWy0jJ3LzAp6Vzyxtgzx5z5DA5ZfphK906oVGQaqwLueiCNSPam9XsWajd8Xlk-Zm0YKvox_kWprBHWgsI_niEAI8Q==&xkcb=SoAk-_M3QXvBwzA0RD0NbzkdCdPP&p=6&fvj=0&vjs=3,e6aa1f64b5d512f5,PostedPosted 6 days ago,2023-04-23T17:46:51.337Z,"2 years of management experience preferred.
 Assist the DNS with management responsibilities and in maintaining the quality of care.",www.indeed.com/applystart?jk=e6aa1f64b5d512f5
"Physical Therapist- Clinic Director- (SIGN-ON BONUS up to $15,000)",Healthcare Management ,"From $85,000 a year",Full-time,8 hour shift,Baylife Physical Therapy & Rehabilitation,"Port Saint Lucie, FL 34952+1 location",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_gJ6UfQmhuga2vkrcWtUr5H2muePL9fu66LCHqC_HdOGLFuAyLEpO0WWA9TDkKUxAkvH1ZuSVBK0DFx7TMr4_B6MBzrpfuKe_Fc7g_mgvhi0IcLbFrGydvN7txypxF8pZHBYkreS1Zcnw-QCzTX-0gPA-Zzw40PP_zEAAyHO-EQD3PLJT7pRpiXsxscIirL0xXGZkgXTNdGICC6qxJIDtTj6wfiyOfb-2xvd1461ZUl6UiM86EXuUPouT-qRE8rXx2WmbduSQcfv2e_ZLk-2XvauFCs-ukrVI0OLbUmOe-RObDNQx6ECchThymDiJhTCEvSqTwAUb3LcBXcLGT5dTUBmZsIu0EHLbEDjWdVOBL_SqAfnME-LQQzXFTyItmhhxQo9cNqy5VjbZBckuYTWDARyVzh4EJexOzhS1TqJWd8EJkiSacY9Zn_X2Q75HtdrhqhAyFx1SO7lN0wPPcWm6D_VfMYO9JsMg_xdMyaHdp4BiMPhfsPkh39iEkhyjKQBUsMenhn4Wcyx1l34gsDvDkw5YeSHDPMqsEUEBjFLFwLmT7BDbgUjUrCLfvf5uqfiyfmZ2_N3FqC62Y2VuQwOF&xkcb=SoCQ-_M3QXvBwzA0RD0MbzkdCdPP&p=7&fvj=1&vjs=3,75326fbcd122c5a4,EmployerActive 2 days ago,2023-04-23T17:46:51.337Z," 
 Candidates with two years of management experience are preferred.
 This management position will require the delivery of high-quality patient care, in a clean…
",www.indeed.com/applystart?jk=75326fbcd122c5a4
Medical Information Specialist II,Healthcare Management ,,,,Ashfield Engage,Remote,3.5,https://www.indeed.com/rc/clk?jk=254deebc04405620&fccid=2cc78e8a48e6feb0&vjs=3,254deebc04405620,PostedPosted 30 days ago,2023-04-23T17:46:51.341Z,"Exhibit effective communication and tele-management skills.
 Excellent Benefits – accrued time off, medical, dental, vision, 401k, disability & life insurance,…",www.indeed.com/applystart?jk=254deebc04405620
Director of Correctional Health and Human Services (Management Analyst IV),Healthcare Management ,"$88,954 - $148,258 a year",Full-time,,Fairfax County Government,"Fairfax, VA",3.9,https://www.indeed.com/rc/clk?jk=39d644dc8dbae229&fccid=4d7cd2a35c0c2edc&vjs=3,39d644dc8dbae229,PostedPosted 22 days ago,2023-04-23T17:46:51.342Z," 
 Manages a group of professionals engaged in diverse administrative and management support activities;
 Works under the direction of the Deputy Sheriff Major…
",www.indeed.com/applystart?jk=39d644dc8dbae229
