Position Name,Job,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,Id,Posted At,Scraped At,Short Description,External Apply Link
Technical Marketing Engineer II,Marketing ,,,,Mouser Electronics,"Mansfield, TX 76063",3.1,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXx78tQcZD7oEYK4QQ2FG97e9UuRIMjhfKOVkXyety5Z4eAm1fJK7h5w1HReJP2O5F_jmbEjg2D4t2BsKQ4sAk_ORZQirmYblqCErix_wbfPVAnTQn_6D7wiaCu5aHu3ZaUDLHPpfxePixH0RJac8qK4Nc_-Rc4pyyn1F7PwstHDhHD1xLH9UAG6SWu9Kl2En-8Mf9JeiTlsnFoAM16QbDlzT9JWzApd8gnswc94VxvyoNswYG1M-IWFqhNfeQQrpjD-QwMhMIs9r8IN0ACYyQygIB4MQhwTpSW9WbLlpG2wGEfD7ZbuGClhxpkTmjlof8a9HQFEDmr7StD3ugiXRR7UkL0895iWzmyPlYxhYfbEOWqe2x9U40EIzRB5ZNfIDQ9GMeAnu5GAuOgpZS2xhPj3hHhzAswtqd6pgCPdf7ADwUYtgW0XjSsSoNiQsbNMjbZa1-_VEpQgOPIdPNGoEUFtIYkhSP19SsaKLfF_Qdy5X66thlLkR6zwZ6Xh8hAKaZUGRss3FMPjoR1kXUkzep9ni_f0YtSqNjuyOmP6-ZVbTRjE7o8Af4lRcIOuP5-wQ=&xkcb=SoB8-_M3QXvTZD2aAp0LbzkdCdPP&p=0&fvj=0&vjs=3,63b79a55ad06b3b3,PostedPosted 30+ days ago,2023-04-23T17:48:51.376Z," 
 Responsible for conceiving and creating technical content in a variety of media such as technical articles, white papers, blogs, videos, and eBooks.
",www.indeed.com/applystart?jk=63b79a55ad06b3b3
CX Analytics Specialist,Marketing ,,,,bioMérieux sa,"Durham, NC+3 locations",3.7,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B-w2FzpJIQ4xMOyQt_Z2sZ2s9-x0vJfXIc7iQhhSys9rewqfm0A4-4-K8nL9VidrdOCajWnlJdu5DW2ievI8FgBzv60iHVPpK2S06NShokLsQpPPZ9c7mPjdpfPFfSX1f5UsPD1IC-g0eFP6sKJVT4H421PTRJjb05kK5xgpVwauCl5Nif8ni8gJSPeEz9ztryGofyXEuJ40CqSjBhUulmN8051uj2P0-F4EhJZM6IUdqLppMsXoDmutg-1XQ8x6xWfu9_9CJskt4NbLC10IEGB8tjSgLHCIiWo2S1kjwnL2g3c_dE3MI0pEUsw3W_wT6NIpgdOYAJduiDDY8pSbhnJ-7d0HFcXMD8kEvqjymtWUuaTtTSihwCkkM-WC9fRpgVBXpJT7HLtD_BzLh9dNz2iDpeufbtmOUXE9VRv1BRMa-AcwWnoZPUudNCIu_otjxnbgzeyxkWPczKJjPPAk-GSx_MztZ6Lv4ezgq2Hpym7bUn4vbSB1KsK9HaytiwZKQUSrl9zA6hdFxH2wzP75kCR25k8Ae6dJoc3Oku4Mz2KnqGDHmADNnBas0wtFBxHSIumh3BJgdS8trDXEbAfVrpUQp7_jhdZJ-EqrB0AHGtIw==&xkcb=SoDI-_M3QXvTZD2aAp0KbzkdCdPP&p=1&fvj=0&vjs=3,8c154419099b9d4a,PostedPosted 30+ days ago,2023-04-23T17:48:51.376Z," 
 Requires true passion for digital customer experience as well as being a creative thought-leader.
 The Analytics make sure that bioMérieux is truly creating a…
",www.indeed.com/applystart?jk=8c154419099b9d4a
Marketing Manager I (Contingent),Marketing ,,Contract,,Amazon,+4 locationsRemote,3.5,https://www.indeed.com/rc/clk?jk=f0c5859efb2f05e0&fccid=fe2d21eef233e94a&vjs=3,f0c5859efb2f05e0,PostedPosted 23 days ago,2023-04-23T17:48:51.376Z," 
 Coordinate with multiple teams to provide thorough and authoritative category creative content.
 Own campaigns from end-to-end: managing creative processes,…
",www.indeed.com/applystart?jk=f0c5859efb2f05e0
"LN Concerts, Regional Marketing Coordinator",Marketing ,,Weekend availability +2,,Live Nation,+6 locationsRemote,4.1,https://www.indeed.com/rc/clk?jk=b83ba09905011efe&fccid=f2d0ffe36bb2f0f4&vjs=3,b83ba09905011efe,PostedPosted 11 days ago,2023-04-23T17:48:51.377Z," 
 This person, under guidance of the Regional Marketing Management Team, will be responsible for multiple tasks that are essential to the success of Live Nation’s…
",www.indeed.com/applystart?jk=b83ba09905011efe
Communications Manager,Marketing ,,Full-time,,National Restaurant Association,"Washington, DC 20036 (Downtown area)",3.7,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXV6erP36Gk5_UqhJ87gBwIOouYBwtKExAdYMc9-jMFP6-YdK3NQTpx4uLYkKiihd6FeI3W1bcQ6NhKf-EmcpKhGRRpA28NW_L-Rqr6haL7ixav34nLwPRUdV7XDNOKBClp9Au8i60HJ-oagspDo8rFyXO0XdeJG0ePKf8R2osUF4XVWiy97qI5iVULEQcr47MSRFAQ3wFxxXkhrgHk1ZZ79tRKt_jTJuTEBP4knBj2Mx0oYlUYCzHoBscf8gaSLZxoike69ELm8qu4imR1IdVxW94UY3GQwRT-zTCIkLFz4Hgp2gbiL_Sm3HzSCVuOgJiUeqMNkhRGHY4Abx93Dtu7Go8BkYXootTT-PI_4hQlPmPZ8Xr9tqtLZ0lZNcHvRgO2zzQ_Uyg99eycHzb4C36phGccfZCfwzemHfylB3tPLyMKGXao1fnUeCDzfEzYIwVbU-BUVSRRFgDr-G-ac3IQj-ePvyeT1bv21WOUflLGtjXg0R7QVKR3DXON4f6yC3P7Lq0ddIg63gQpo5LPidzHZa5BiEB41j2Qwey_nv7SVuoVDyqb7maAeWzeedmLbEskUtOOPFXmnHyHekesPS7XBsDuu7xCGg-WDLje2CugDGn9vnI3ccb723Ti9l-FFM50ISL1pWlcY0rj5zGAilChN1c0p8ABjww_J51n7XsCOk9wUDCKMeNYpsNPOfFhbYZDsi2kcwWA9udCZAhSd5ZxoRc-cmkBN9XgOOroJ_lbs3F8qDd9wEX0aRhbJJSrphPXUiacuasomoVDHIDFzFamHTTx1-NZ_deRyb4Oz1viqbshxwY0oSipfC3NnPk8GA=&xkcb=SoBv-_M3QXvTZD2aAp0PbzkdCdPP&p=4&fvj=0&vjs=3,95a35f0caa68d4f7,PostedPosted 26 days ago,2023-04-23T17:48:51.377Z," 
 Work with digital communications manager to collaborate content for the Advocacy social media channels and provide timely strategic guidance.
",www.indeed.com/applystart?jk=95a35f0caa68d4f7
"Sr. Professional, Acquisition Marketing-Search (Remote)",Marketing ,"$92,000 - $101,000 a year",,,Under Armour,Remote,3.8,https://www.indeed.com/rc/clk?jk=1369ea00efa55ffc&fccid=f5d526c81b4033de&vjs=3,1369ea00efa55ffc,PostedPosted 3 days ago,2023-04-23T17:48:51.377Z," 
 Building out written briefs (creative, strategic) for Agency and Media partners tied to given campaign projects.
 Proven ability to manage a Search/PLA program.
",www.indeed.com/applystart?jk=1369ea00efa55ffc
"Coordinator, Marketing",Marketing ,,Weekend availability +2,,Monumental Sports & Entertainment,"Washington, DC 20001 (Chinatown area)",4.3,https://www.indeed.com/rc/clk?jk=304b691121cd6321&fccid=c015548b7d8dfb6b&vjs=3,304b691121cd6321,PostedPosted 18 days ago,2023-04-23T17:48:51.378Z," 
 Bring marketing campaigns to life by briefing and delivering creative assets to internal & external partners, meeting established target dates.
",www.indeed.com/applystart?jk=304b691121cd6321
Marketing Coordinator,Marketing ,"$45,000 - $55,000 a year",Full-time,Monday to Friday +1,Kansas Big Brothers Big Sisters,"Hybrid remote in Wichita, KS 67203",3.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DCA_2lCzr6gRPYoaJM1jOzw8L7NJZqrCxVnS68p5Ao62jxylRVgkXLgc32iMH9PLE4m-iaCs6AZPbMo4CqHMrUHfY2tyTqJ1kD7Q4XLURaVy-AKWhNhsHSYM1PTh0x1px48qt2jTJjOOUZXAUGgf0qxLl2_WIwPxgyxkg3MNVAtafqsom3lxUVPmLuXMo1OdUdAZElfe_ei0V4AzcssbZCjgni_G6qctBDmB_xXG2OLvwPwvxauPzOqdrzVSWEpvUvXolFq_pcmFPUvY2hYw-KHA6sx_mUqqEyXWlfv98kF2dtVgTpld1DWQRXshbkyHoFd52bFb9a3IsOWQt93ub6XlPhP12qrSi8d0QaaJfhkm0yXVm--BsenV3PBFM6BF5wfEtXmKGpfRJ1PC63q3wEaR61bM5GyuVJI0n0rjbAiyxN5zwHrt-UTQixkc13LEQT744M5j1N3cQE-nsvgZBS5tqY8D0yqwOpiRQKXx8_oSaUI8fmpkS8n-8VSVotc0FDuWdqgT2xaCgEh_9KSa-8&xkcb=SoDy-_M3QXvTZD2aAp0MbzkdCdPP&p=7&fvj=1&vjs=3,69ea2f1bcfaabad9,EmployerActive 2 days ago,2023-04-23T17:48:51.378Z," 
 Create and design marketing material including digital/social content, print, email, website, video, and other media following KSBBBS brand guidelines.
",www.indeed.com/applystart?jk=69ea2f1bcfaabad9
"Digital Marketing Apprenticeship, September 2023 Start",Marketing ,,,,Google,"Hybrid remote in New York, NY",4.3,https://www.indeed.com/rc/clk?jk=1287d7f9b45d9baa&fccid=a5b4499d9e91a5c6&vjs=3,1287d7f9b45d9baa,PostedPosted 5 days ago,2023-04-23T17:48:51.378Z," 
 And manage social media campaigns, and develop ideas to better engage our users.
 You will learn how to support product marketing strategy, understand users,…
",www.indeed.com/applystart?jk=1287d7f9b45d9baa
Product Manager - Flow Systems & Water Distribution,Marketing ,"$88,738 - $133,107 a year",Full-time,Monday to Friday,Zurn Elkay Water Solutions,"Hybrid remote in Erie, PA 16502+1 location",3.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AojFXamhxwhK1B8D6X0cSUqHwhBokJgDPwSs5PeCtHV-A3QJz9dIzRutcfUMYMn1XAIq-boAq0hJn1opbHobplMmXQCDc3IqDwAQojp5B4kUFOnWamydd8Fe2LUGwWB8ZTRGVjS0X4KHjqtQPucxERxVJFKIKRxMP6N9PloyRNBDjf-DcajO3ctYJikng0dLDycN12HSKtkybIhnOMpWLlOM4tIlT_d7n_ZDvi8BAksp1EKFERlf1XxvYvqHAIfcK6xUr3QhGxxKQsrvrW9fNFtC91IHiM--XwpTmZpIUUDbGEhMZmJJ-qnFfOLsFstrS3EAfnCJLFJKV2NTEP0s9fwhXl2t-A9MsftJ49v16iFW59dv2Qxxtdi4y3bjzuL5MZKrf2wVhrihv2310t2SR-fdkEEuuHDm1tNL3ul9VqlwW_qhGZD_FZZ10ipj_o7jE_DLClopkHLEvb5cTiA83pQ05xPWi4-Sqqd_n0tlh30wj0wX53rPhZwgm1XDYhYQUZ4I-8WzwV5sXbRdMskTHPcsxLnNGDbAr33gZvJYR5TH2_iJML5P0vaRmvEb_LfCzydfg7arI3F7WAZ2fpjGMLbt-XZOLYB6PXQzUnGJq3cxCRnm4Ch1BI&xkcb=SoCv-_M3QXvTZD2aAp0CbzkdCdPP&p=9&fvj=1&vjs=3,92fd2dc33c684f3b,EmployerActive 19 days ago,2023-04-23T17:48:51.379Z," 
 Exceptional track record of dealing with and influencing internal and external customers.
 The Product Manager is responsible for supporting initiatives in…
",www.indeed.com/applystart?jk=92fd2dc33c684f3b
