"Position Name","Salary","Job Type","Shift & Schedule","Company","Location","Rating","URL","Id","Posted At","Scraped At","Short Description","External Apply Link"
"Electrical Project/Service Manager (5yrs Experience Mandatory)","$70,000 - $90,000 a year","Full-time","Additional job detailsProfessional development assistance","AIT Electric","Pompano Beach, FL","","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXiQGl5ptDMcnTIIZ36NMrvM7uPyTtdLyhpPNNY-rKaHRJAF7FIbHBbO94M0NSTu-PfdO33Ngc5p5ZiNFrxf879NQ7p2HyWd_orW_6AuEHlaw11-MFfhAtHcMofTATOixZlAguWm-DTOdTgCRLc99Q0Upw5_L8b95RpNiml93BT-8x_RQQvP62kn6KkJslVlL7Ajs0ZvIrPIXBjngtC-AGC_nHa5Lj6cFlPbLUztoXk1LEHoRxvRC9pDdV_HlfAOK-Rh0FnjbxEwh-IUUcqbekG6LUKVcjiKXFZucVKwe-IkAnJIL_RdKiFVH2_NC8YQBCCKXjJS5krdUHMtVgbiKnInqJNHWOphklpjAIwfSMJESewDrXzW-uMabueAJe6taid5s1MbhVMvibzs0dCL7XWs2vAKCaIuMCbjGX1cNLGNrhotgvbYN0D3oAOMKKp_N4R8TFuoptqxZVsZnBQRYR6gFoTQI2HsuFrtj6yTqwTi68oVq41AN4mBWuOmtGxw0fn7GcTyNSOI9H9JgdnU6qjpgyY-4frGJOTRRBiWlleE3_gQ0s_ugfeVipG0zKrLSwKl9bwJm9o3TFit22ACcm&xkcb=SoA9-_M3QXvPLwQ8M50LbzkdCdPP&p=0&fvj=1&vjs=3","37b1c67ec62af4ab","EmployerActive 2 days ago","2023-04-23T17:45:03.687Z"," 
 Individual must possess a valid Driver's license in good standing.
 Actively participate in senior-level selling on strategic projects or accounts as well as…
","www.indeed.com/applystart?jk=37b1c67ec62af4ab"
"Project Electrical Engineer","$75,000 - $100,000 a year","Full-time","Monday to Friday +2","T3 Alaska, LLC","Anchorage, AK 99518 (Taku-Campbell area)","","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ByobdAXo2KcfomxrZXZN50oFKRNNWZSkKhayBJFlscXkH_fZrMCDqfB_gcRg3F7F_ox25KsM8pW8O98ZpgrWfGLyRWW-3jnSfHhbRcaaH-2mVioPUIFjEUgowc4vkMTPxP-0c4fT1I0LCXANyVm7r3f7V0fKUPa_8jTQiU_tGxZdnXwQEVBWb3N8ZVdG7DlJ4Dq4lVLDYgt_RfZOMtoRo-q-8_hyqgXSJgu2lRbrd06QzTArQM5cT8HlYg9YAXab-zNUeICZ_zbffXNuuXHzKv_bQouyMiSjiEfuBDaDMBvQatiuFRCeyeKu6YBxwryoSBrxE4KA3jvMrq3iABGwepWAZT6Ooufe1vyfhAMpkURAOXxDGSD-VwXlTZ3ScGHjD8Ao-uy3xh_jZLcpwFT9phwTypd5dgARBfVqee11jyoEm7lHFueqnwqDYEPyJ0qhF5YrPuhbiHHDfmyhlA2BNyzKrGzL20ttjJ_JNRa1udGYFjYF66vQZXpYyzGHs75VxDFLY2erP_YOgKLofMrz5De0nAsIbybaZ-ePHTCIfBoQ==&xkcb=SoCJ-_M3QXvPLwQ8M50KbzkdCdPP&p=1&fvj=1&vjs=3","2cf2e2feb047a583","EmployerActive 2 days ago","2023-04-23T17:45:03.687Z"," 
 T3 is a local leader in the design and construction assistance of electrical and mechanical systems.
 The right candidate must have their P.E. license.
","www.indeed.com/applystart?jk=2cf2e2feb047a583"
"Project Manager Multifamily Ground up","$90,000 - $125,000 a year","Full-time","Monday to Friday","Recon Construction Corp.","Mahwah, NJ 07430","","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CB8vQ_Z3-XgO34EnuYEBdk7snrwQD3eWgjXkfJKWJrRAFa5NLMTm-kqO637odtb3X6Jbrhe3ZLn8HXve3DkomrneXQGAaurEJfDNk_Vq3lmIHrbpZdrM-JMqF4piBiZ8TnjSdCAkBTfFd1oj3QSCLtYDj5fL3QLbyXd45fZYNJqRoHICQmloI8cay5URzMQoV00rWKVYhZYBOYhmas8cB_69qInf78wPqFQBE8ktLNemik4zGY91j4tVcXlnaZBH-Yc595glSWvtCJ-qdgn7v6g2UOqIpdqTLMGzmdNXWoSmQ3Ss7XAEYeD0YE9_XQLT5hLfduec2qsrGYREt2IaxZU9zMyC05GVYEH4qnLcXiRDfvzpaZV3gZtEEFbQWm8_8syKToI_CLa6P1xvz5ywFLx2nieW1ts2ZI5RA0bVyzxmG3URgyGt30wl0a7AlEilhOjiyJdaI_iraOAOzDspWn5Ty9cbgVHjCLAOgXZ3CyvfBRx4gFQ9QQUZ8POS_A63N_c61tj3gJyAcDX_W7baaGNRIHgaQgfSgxWl9shPOC4g==&xkcb=SoAU-_M3QXvPLwQ8M50JbzkdCdPP&p=2&fvj=1&vjs=3","182a03cb2f2f46dc","EmployerActive 1 day ago","2023-04-23T17:45:03.688Z"," 
 Must have strong knowledge wood framed construction.
 Comprehensive plan, scope and specification review prior to construction.
 Perform site visits as necessary.
","www.indeed.com/applystart?jk=182a03cb2f2f46dc"
"Project Manager","$65,000 - $100,000 a year","Full-time","Monday to Friday +2","Spire Integrated Systems","Charlevoix, MI+1 location","4.7","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CH4aig5Ztd-45FrZS1-WrZIx-owN4hI8D535o7deO_fg-1mtKj_ca1JqbGrBzQR1LlInpsnoB8I416dl6qgwLqXrrhjKcECgcgYeDh99OBUJfozXKvXxhUP-BIV2pt4cxHtVBAFOfgucpnokM1FMKg-Lak0B0RrvT3kkOJfYvn140pMVY323Dnxa4FLBd-qiGXzhfyGTRlog3IyJ9DC97ajKNla_AHD3_IbgpOuebkZ3Omo-AOSD2vkA23dh826gnBGs8wNYxslNHjwF4RbrwLmQLgCRY6KdopTqWmyQitJexGNc9icmRLgm3FMHaJQwFUbxWZ2yxXh3USkEeAGbOC9EBKWW3-z4tKDux8FYETEPyxyhxUg79Tp4p-iWEYaxMxVwyRFwLerlzrycfh1MZt4TcF67r-Nq1z8WpT3dtRsLHKvR0nZtdKztyjCmL0DhxOEcFrqmtB3mh59FEf5RIHuxQki2ISbxHrsLIhlvVNwDV40rxKU0cdciF5ZR4W2XyjHjLfyQLE64H5kouWmIkJ&xkcb=SoCg-_M3QXvPLwQ8M50IbzkdCdPP&p=3&fvj=1&vjs=3","a745080560765855","EmployerActive 2 days ago","2023-04-23T17:45:03.688Z"," 
 Experience managing construction or technology projects.
 As a Project Manager you will oversee the planning and management of multiple technology projects…
","www.indeed.com/applystart?jk=a745080560765855"
"Project Manager","","Full-time","","Cape Environmental Management Inc.","Remote","3.7","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BPqSpYgOcM0M8eJEKA1yFmJlsqDFBUT_nRuJmghE7c6iNyHLMrsloNq7Ph1hDaX4Itr6T46eJY5-Y9UsvSKZkcmx0uu5SrOGggiUcVCqyD81_BdQJDBS9Ld4kcs8siawtxcxmXBEQbJWtfy-Zt-uscDzK0jwTdPmPsYRjjOHq1pMeOaI6kGWCnyUQfGb6ZXxLngJ43I66r15yYfkwHBPZYf2rTZOKMEvHGHvYSsdYQpklD1by4OAWmwL0slDitDtXxflnrbwgOICBdvScxmzEWNEtGx5TvVoi0_Nj_pxqyPnnw-wmfnv7u6NlZCtQOdNLfsA3lyUuMTj1NCUxFLA215VbjEB6sOHN5VsabAoBOImnKArNLCXh4A-zuk_YK8TQHAgolIBQMF0OpCrJ0hooIAM7AX7unMkPTTZdfNccfRDDdY1Ug_V2hn2Jpzs1468VryfD0lj5v9IxoNXT9UN1n9jm0jUsU3RmsOibaoPAWJjmNm2QjdOg5CJHo1GjaGPZcS5uJHO3ThpcF0q31GZXV&xkcb=SoAu-_M3QXvPLwQ8M50PbzkdCdPP&p=4&fvj=0&vjs=3","ed3ac18d5f9229bb","EmployerActive 6 days ago","2023-04-23T17:45:03.688Z"," 
 The project manager (PM) assists CAPE in achieving its strategic and business objectives by executing project management processes (initiation, planning,…
","www.indeed.com/applystart?jk=ed3ac18d5f9229bb"
"Project Manager 3","$90,000 - $125,000 a year","Full-time","Monday to Friday +2","Access Limited Construction","Oceano, CA 93445","","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C-D0SY-927fGXxURyo51VNiuKg3Zfj0IKQGoVHTLQpxzuLmcSlrCDz6Yev1yMmTNz-PznQ9A6Z_22AyVKFsn-y-g2V7r1F8qIIw8ALFq5Uq5F0sFxW8G9Jpdh2fa3ZkVCDsn1QtoJ__23LuscFlRjmCRqkDM3eI-QSkEfwko-xR-6W4tNergfCrcPtCcC1urHI6Vd2INLcdXz2w1aPrBuhPaSM1jUyfFDKSS_ex7HVFFvPqO_DS2glSA_9Pbv8fIs4DbvwFIM06OfuFyv9DAcY-KDP6KaKPJSCQUsPytzHnsUOjV_ZQPyFJursQENssPfLNOeVjSXajhiZcp2sh9BNPoaGhOaxEapV7_e58guB9OZdb_juPps-V5zG288Jyodhh1SDz7aDaP7CcirRyi1TlwPEsqvr5RJk7vqWNPsWmTLd6ygHl-NR1KufqwZGLKl9LxcRMQiCfy6Hqygu8k_N0n8jvU1WCSSGK_qDTdjOtVI0K7u1tGI-rxdcoKrViHybaLdGgBshmielKpO1Z-kdqC9MYG8TOak=&xkcb=SoCa-_M3QXvPLwQ8M50ObzkdCdPP&p=5&fvj=1&vjs=3","5f5a3b9c87d7f67c","EmployerActive 2 days ago","2023-04-23T17:45:03.689Z"," 
 The ideal candidate will possess a high degree of integrity and personal accountability with prior experience in public works construction.
","www.indeed.com/applystart?jk=5f5a3b9c87d7f67c"
"Creative Project Manager","$90,720 - $136,080 a year","Full-time","","The North Face","Denver, CO 80206 (Cherry Creek area)","4.0","https://www.indeed.com/rc/clk?jk=ca09d972d13f9fc5&fccid=ad1670e88d0dd5f3&vjs=3","ca09d972d13f9fc5","PostedPosted 3 days ago","2023-04-23T17:45:03.689Z"," 
 The Creative Project Manager is responsible for the timely and accurate delivery of creative briefs and deliverables that ladder up to seasonal, brand and…
","www.indeed.com/applystart?jk=ca09d972d13f9fc5"
"Creative Project Manager","","Full-time","","GMR Marketing","Remote","4.2","https://www.indeed.com/rc/clk?jk=3c7c3bcaaac17ccc&fccid=39fb847622295a98&vjs=3","3c7c3bcaaac17ccc","PostedPosted 30+ days ago","2023-04-23T17:45:03.689Z"," 
 In your partnership, you will be able to monitor timelines of work-in-progress and, follows-up with creative design project leads, and facilitate efficient…
","www.indeed.com/applystart?jk=3c7c3bcaaac17ccc"
"Project Manager","","Full-time","Day shift","Children's National Hospital","Remote in Washington, DC 20010","3.8","https://www.indeed.com/rc/clk?jk=bb9610fe05d72bac&fccid=462240b6ade3ccad&vjs=3","bb9610fe05d72bac","PostedPosted 30+ days ago","2023-04-23T17:45:03.690Z"," 
 Coordinate internal resources and third parties/vendors for the flawless execution of projects.
 Manage changes to the project scope, project schedule, and…
","www.indeed.com/applystart?jk=bb9610fe05d72bac"
"Project Manager, Building Operations","From $90,000 a year","Full-time","","National Geographic Society","Washington, DC","4.1","https://www.indeed.com/rc/clk?jk=760ea167764599f2&fccid=5d6f8421490978a4&vjs=3","760ea167764599f2","PostedPosted 30+ days ago","2023-04-23T17:45:03.690Z"," 
 5+ years of construction, facility, or project management experience.
 This position will coordinate with existing project management resources within JLL and…
","www.indeed.com/applystart?jk=760ea167764599f2"
