Position Name,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,Id,Posted At,Scraped At,Short Description,External Apply Link
"Information Systems, IT, Cyber Engineer & Data Science - Recent Grad/Full Time",,Full-time,,Honeywell,United States,3.7,https://www.indeed.com/rc/clk?jk=8e3e230b16afb047&fccid=50208b5bf45ee3b8&vjs=3,8e3e230b16afb047,PostedPosted 30+ days ago,2023-04-16T02:29:03.574Z," 
 Applicants for employment for this position must have work authorization that does not now or in the future require sponsorship of a visa for employment…
",www.indeed.com/applystart?jk=8e3e230b16afb047
Data Science Co-op (July - December 2023),$26 - $32 an hour,Internship,,Liberty Mutual,"Boston, MA",3.6,https://www.indeed.com/rc/clk?jk=26538f3480192ee4&fccid=f33a9750898d12d4&vjs=3,26538f3480192ee4,PostedPosted 2 days ago,2023-04-16T02:29:03.574Z," 
 Working knowledge of data science and machine learning techniques.
 Explore the advantages and limitations of privacy-preserving ML, to accelerate…
",www.indeed.com/applystart?jk=26538f3480192ee4
Junior Data Engineer,,Full-time,,Deloitte,"Rosslyn, VA 22209 (Radnor-Ft Myer Heights area)+1 location",3.9,https://www.indeed.com/rc/clk?jk=22d3f6988ab5086a&fccid=9e215d88a6b33622&vjs=3,22d3f6988ab5086a,PostedPosted 30+ days ago,2023-04-16T02:29:03.574Z," 
 Understanding of solution design, data architecture and design, data models.
 Understanding of solution design, data architecture and design, data models.
",www.indeed.com/applystart?jk=22d3f6988ab5086a
Data Scientist (Recent Grad),"$49,773 - $77,155 a year",Full-time,,US Federal Aviation Administration,"Wallops Island, VA",4.1,https://www.indeed.com/rc/clk?jk=bfbece2d0ea97258&fccid=75f7d01ae15646fc&vjs=3,bfbece2d0ea97258,PostedPosted 10 days ago,2023-04-16T02:29:03.575Z," 
 Degree: Mathematics, statistics, computer science, data science or field directly related to the position.
 Applies basic technical knowledge of data science and…
",www.indeed.com/applystart?jk=bfbece2d0ea97258
Entry-level TriZetto Provider Analyst,"$72,000 a year",Full-time,Day shift,Cognizant,United States+1 location,3.9,https://www.indeed.com/rc/clk?jk=c3aa5b527a82aca3&fccid=2df6a1e69a70a1e7&vjs=3,c3aa5b527a82aca3,PostedPosted 30+ days ago,2023-04-16T02:29:03.575Z," 
 Interested in data – Data Science, Data Analytics, Databases, large data sets, or data mining.
 You will assist in designing and developing fully functional…
",www.indeed.com/applystart?jk=c3aa5b527a82aca3
ML Engineer - Entry Level,$50 - $55 an hour,Contract,8 hour shift,Data Ninjas Inc.,Remote,,https://www.indeed.com/company/Data-Ninjas-Inc./jobs/Test-Engineer-Entry-Level-2613b660d13740d6?fccid=353cb9549be6d366&vjs=3,2613b660d13740d6,EmployerActive 8 days ago,2023-04-16T02:29:03.575Z," 
 Work directly with data scientists build pipelines required for machine learning models.
 Automate and execute all levels of testing (unit, integration, and…
",www.indeed.com/applystart?jk=2613b660d13740d6
Entry Level Data Science Specialist,"$55,000 - $60,000 a year",Full-time,8 hour shift,I28 Technologies,"Marysville, MI 48040",,https://www.indeed.com/company/I28-Technologies-Corporation/jobs/Data-Scientist-d33471f8350dc27a?fccid=a8f840414d50fb27&vjs=3,d33471f8350dc27a,EmployerActive 6 days ago,2023-04-16T02:29:03.576Z," 
 Must Have Knowledge of statistical techniques and machine learning algorithms.
 Hands-on Knowledge of analysis tools like R, Python.
 Good to have Deep Learning.
",www.indeed.com/applystart?jk=d33471f8350dc27a
Data Specialist,"$30,000 - $35,000 a year",Full-time,,Juristat,Remote,,https://www.indeed.com/rc/clk?jk=94f63106de1c12fa&fccid=7eef65abf940ce5e&vjs=3,94f63106de1c12fa,PostedPosted 30+ days ago,2023-04-16T02:29:03.576Z," 
 We’re seeking a highly motivated and organized individual to join our data team as an entry-level Data Entry Specialist.
 Medical, dental, and vision coverage.
",www.indeed.com/applystart?jk=94f63106de1c12fa
Jr. Data Scientist,"$86,000 - $110,000 a year",Full-time,,"WhirlWind Technologies, LLC",Remote,4.4,https://www.indeed.com/rc/clk?jk=d481a53712856322&fccid=98318de9a68e36bc&vjs=3,d481a53712856322,EmployerActive 4 days ago,2023-04-16T02:29:03.576Z," 
 Automate data collection from various external data sources and data type.
 Develop methods and procedures for collection and analysis of data from several data…
",www.indeed.com/applystart?jk=d481a53712856322
Entry level Data Science Engineer-333338,"$60,000 - $65,000 a year",Full-time,8 hour shift,I28 Technologies,"Marysville, MI 48040",,https://www.indeed.com/company/I28-Technologies-Corporation/jobs/Entry-Level-Engineer-ee402a515ee58cf0?fccid=a8f840414d50fb27&vjs=3,ee402a515ee58cf0,EmployerActive 5 days ago,2023-04-16T02:29:03.576Z," 
 Experience in data control and data automation.
 Experience in data extraction and data manipulation in SAS, PythonR and Excel.
",www.indeed.com/applystart?jk=ee402a515ee58cf0
